,CARGO,ESPECIALIDADE,INSCRICAO,IDENTIFICADOR,NOTA Algebra Linear,NOTA Analise Combinatória,NOTA Cálculo Diferencial e Integral,NOTA Geometria Analítica,NOTA Matemática Discreta,NOTA Probabilidade e Estatística,NOTA Lógica Matemática,NOTA Análise de Algoritmos,NOTA Algorítmos e Estrutura de Dados,NOTA Arquitetura e Organização de Computadores,NOTA Circuitos Digitais,NOTA Linguagens de Programação,"NOTA Linguagens formais, autômatos e Computabilidade",NOTA Organização de Arquivos e Dados,NOTA Sistemas Operacionais,NOTA Técnicas de Programação,NOTA Teoria dos Grafos,NOTA Banco de Dados,NOTA Compiladores,NOTA Computação Gráfica,NOTA Engenharia de Software,NOTA Inteligência Artificial,NOTA Processamento de Imagens,NOTA Redes de Computadores,NOTA Sistemas Distribuídos,NOTA TOTAL TO
1439,Mestrado/Doutorado,Fundamentos e Métodos de Computação,47101149558-3,"1,022E+11",1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,27.0
1440,Mestrado/Doutorado,Sistemas Embarcados,47101175471-3,"1,058E+11",1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,24.0
1441,Mestrado/Doutorado,Sistemas de Computação\Computação Aplicada,47101145932-0,"1,019E+11",0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,2.0,26.0
1442,Autoavaliação,,47102147496-0,"1,035E+11",1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,31.0
1443,Mestrado/Doutorado,Projeto de Sistemas e Circuitos,47101175329-5,"1,033E+11",0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,23.0
1444,Mestrado/Doutorado,"Engenharia de software, Gerenciamento de Informações e Interfaces Homem-Computador",47101146988-8,"1,019E+11",1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,28.0
1445,Mestrado/Doutorado,Multidisciplinar,47101165758-3,"1,01E+11",1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,40.0
1446,Mestrado/Doutorado,Redes de Computadores e Sistemas Distribuídos,47101171317-1,"1,036E+11",0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,27.0
1447,Mestrado/Doutorado,Engenharia de Software e Sistemas de Informação/Sistemas Web e Multimídia Interativos,47101171798-6,"1,05501E+11",1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,42.0
1448,Mestrado/Doutorado,Inteligência Computacional,47101148706-0,"1,05001E+11",0.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,27.0
1449,Mestrado/Doutorado,Processamento de Imagens,47101147834-6,"1,028E+11",1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,32.0
1450,Mestrado/Doutorado,Sistemas e Tecnologias da Computação,47101160098-3,"1,025E+11",1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,3.0,40.0
1451,Mestrado/Doutorado,Inteligência artificial,47101148313-0,"1,019E+11",0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,30.0
1452,Mestrado/Doutorado,Sistemas de Computação,47101146204-1,"1,00701E+11",0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,22.0
1453,Mestrado/Doutorado,Computação Visual e Inteligência Artificial,47101172351-0,"1,025E+11",1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,40.0
1454,Mestrado/Doutorado,Sistemas Digitais e Embarcados,47101168016-9,"1,037E+11",0.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,0.0,3.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,41.0
1455,Mestrado/Doutorado,Sistemas Inteligentes,47101168523-3,"1,04801E+11",1.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,31.0
1456,Mestrado/Doutorado,Extração de Informação em Imagens e Vídeo,47101163249-6,"1,035E+11",2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,3.0,33.0
1457,Autoavaliação,,47102176780-3,"1,012E+11",2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,21.0
1458,Mestrado/Doutorado,Redes de Computadores,47101176065-2,"1,05501E+11",0.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0,2.0,37.0
1459,Mestrado/Doutorado,Inteligência artificial,47101174733-6,"1,008E+11",0.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0
1460,Mestrado/Doutorado,Otimização,47101146012-5,"1,036E+11",,,,,,,,,,,,,,,,,,,,,,,,,,
1461,Mestrado/Doutorado,Gerenciamento de Dados e Informações,47101173391-0,"1,022E+11",0.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,33.0
