,INSCRICAO,SEXO,CIDADE,ESTADO,CARGO,CÓDIGO,LOCAL DE PROVA,ANO
6194,42101835067-5,M,Rio de Janeiro,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6195,42101832706-8,M,Campo Mourão,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
6196,42101810665-6,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6197,42101829040-9,M,São José do Rio Preto,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6198,42102824401-7,M,Alegrete,RS,2-Autoavaliação,2,Alegrete - RS,2017
6199,42101820628-9,M,Rondon,PR,1-Mestrado/Doutorado,1,Maringá - PR,2017
6200,42101833113-9,M,Marília,SP,1-Mestrado/Doutorado,1,Bauru - SP,2017
6201,42101825070-8,M,Barra do Garças,MT,1-Mestrado/Doutorado,1,Goiânia - GO,2017
6202,42101835398-1,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
6203,42101828391-5,M,Juiz de Fora,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
6204,42101809558-2,M,Barretos,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6205,42101809461-3,M,Palmitinho,RS,1-Mestrado/Doutorado,1,Chapecó - SC,2017
6206,42101834381-7,M,São Carlos,SP,1-Mestrado/Doutorado,1,São Carlos - SP,2017
6207,42101835497-9,M,Natal,RN,1-Mestrado/Doutorado,1,Natal - RN,2017
6208,42101811137-1,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6209,42101834774-8,M,Marília,SP,1-Mestrado/Doutorado,1,Bauru - SP,2017
6210,42101828339-6,M,Cataguases,MG,1-Mestrado/Doutorado,1,Juiz de Fora - MG,2017
6211,42101835395-1,M,Chapecó,SC,1-Mestrado/Doutorado,1,Chapecó - SC,2017
6212,42101835002-6,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6213,42101833572-7,M,Duque de Caxias,RJ,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6214,42101833549-2,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6215,42101834895-1,M,Cachoeiro de Itapemirim,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6216,42101811129-3,M,Maceió,AL,1-Mestrado/Doutorado,1,Maceió - AL,2017
6217,42101810554-0,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6218,42101810099-7,M,Boa Viagem,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6219,42101824465-2,M,Vitória,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6220,42101810129-7,M,Santo Anastácio,SP,1-Mestrado/Doutorado,1,Presidente Prudente - SP,2017
6221,42102811361-4,M,Rio de Janeiro,RJ,2-Autoavaliação,2,Rio de Janeiro - RJ,2017
6222,42101828803-8,M,Dolcinópolis,SP,1-Mestrado/Doutorado,1,Rio de Janeiro - RJ,2017
6223,42101835262-0,M,Machacalis,MG,1-Mestrado/Doutorado,1,Belo Horizonte - MG,2017
6224,42101829043-9,M,Vitória da Conquista,BA,1-Mestrado/Doutorado,1,Vitória da Conquista - BA,2017
6225,42101829358-9,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6226,42101834504-6,M,União,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6227,42101831373-0,M,Belém,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6228,42101810731-9,M,Sobral,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6229,42101810698-0,M,Juazeiro do Norte,CE,1-Mestrado/Doutorado,1,Quixadá - CE,2017
6230,42101835420-1,M,Campina Grande,PB,1-Mestrado/Doutorado,1,Campina Grande - PB,2017
6231,42101831701-1,M,Guaraí,TO,1-Mestrado/Doutorado,1,Palmas - TO,2017
6232,42101812481-0,M,Ponta Grossa,PR,1-Mestrado/Doutorado,1,Curitiba - PR,2017
6233,42101834519-4,M,Dois Vizinhos,PR,1-Mestrado/Doutorado,1,Cascavel - PR,2017
6234,42101832405-6,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6235,42101810422-9,M,Uberlândia,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
6236,42101833071-0,M,Santa Maria,RS,1-Mestrado/Doutorado,1,Santa Maria - RS,2017
6237,42102821334-5,M,São Cristóvão,SE,2-Autoavaliação,2,Aracaju - SE,2017
6238,42101829022-2,M,Maracanaú,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6239,42101810059-4,M,São Gonçalo do Amarante,RN,1-Mestrado/Doutorado,1,Natal - RN,2017
6240,42101830471-0,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6241,42101826039-1,M,Romaria,MG,1-Mestrado/Doutorado,1,Uberlândia - MG,2017
6242,42101818113-0,M,São Luís,MA,1-Mestrado/Doutorado,1,São Luiz - MA,2017
6243,42101810314-3,M,Bragança,PA,1-Mestrado/Doutorado,1,Belém - PA,2017
6244,42101811565-5,M,Aracaju,SE,1-Mestrado/Doutorado,1,Aracaju - SE,2017
6245,42101833967-8,M,São José dos Campos,SP,1-Mestrado/Doutorado,1,São José dos Campus - SP,2017
6246,42101810115-9,M,Icó,CE,1-Mestrado/Doutorado,1,Fortaleza - CE,2017
6247,42101834603-3,M,Cuiabá,MT,1-Mestrado/Doutorado,1,Cuiabá - MT,2017
6248,42101811183-2,M,São Mateus,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6249,42101809765-5,F,Cachoeiro de Itapemirim,ES,1-Mestrado/Doutorado,1,Vitória - ES,2017
6250,42101809988-6,M,Poços de Caldas,MG,1-Mestrado/Doutorado,1,Poços das Caldas - MG,2017
6251,42101818577-8,M,São Paulo,SP,1-Mestrado/Doutorado,1,São Paulo - SP,2017
6252,42101835458-6,M,Cachoeiro de Itapemirim,ES,1-Mestrado/Doutorado,1,Alegre - ES,2017
6253,42101819598-0,M,Santa Rita do Passa Quatro,SP,1-Mestrado/Doutorado,1,Ribeirão Preto - SP,2017
6254,42102835774-8,M,Gaurama,RS,2-Autoavaliação,2,Erechim - RS,2017
6255,42101809488-0,M,Novo Horizonte,SP,1-Mestrado/Doutorado,1,São José do Rio Preto - SP,2017
6256,42101829817-2,M,Porto Alegre,RS,1-Mestrado/Doutorado,1,Porto Alegre - RS,2017
6257,42101810843-4,M,Joinville,SC,1-Mestrado/Doutorado,1,Joinville - SC,2017
6258,42101810561-9,M,Teresina,PI,1-Mestrado/Doutorado,1,Teresina - PI,2017
6259,42101824437-8,M,Passo Fundo,RS,1-Mestrado/Doutorado,1,Erechim - RS,2017
